id,imei_no,sim_no,log,lat,datetime
32831,hhhhh,111111,28.495587,77.305645,03-17-2021 10:41:39
32832,hhhhh,111111,28.495583,77.305638,03-17-2021 10:41:52
32833,hhhhh,111111,28.495582,77.305648,03-17-2021 10:42:08
32834,hhhhh,111111,28.495572,77.305642,03-17-2021 10:42:24
32835,hhhhh,111111,28.495565,77.305658,03-17-2021 10:43:36
32836,hhhhh,111111,28.495568,77.305635,03-17-2021 10:43:59
32837,hhhhh,111111,28.495570,77.305618,03-17-2021 10:44:05
32838,hhhhh,111111,28.495560,77.305637,03-17-2021 10:44:20
32839,hhhhh,111111,28.495555,77.305645,03-17-2021 10:44:35
32840,hhhhh,111111,28.495550,77.305640,03-17-2021 10:44:50
32841,hhhhh,111111,28.495548,77.305627,03-17-2021 10:45:05
32842,hhhhh,111111,28.495553,77.305620,03-17-2021 10:45:20
32843,hhhhh,111111,28.495557,77.305628,03-17-2021 10:45:35
32844,hhhhh,111111,28.495565,77.305645,03-17-2021 10:45:50
32845,hhhhh,111111,28.495577,77.305645,03-17-2021 10:46:05
32846,hhhhh,111111,28.495575,77.305638,03-17-2021 10:46:20
32847,hhhhh,111111,28.495570,77.305638,03-17-2021 10:46:35
32848,hhhhh,111111,28.495558,77.305633,03-17-2021 10:46:50
32849,hhhhh,111111,28.495547,77.305640,03-17-2021 10:47:05
32850,hhhhh,111111,28.495538,77.305650,03-17-2021 10:47:20
32851,hhhhh,111111,28.495545,77.305642,03-17-2021 10:47:35
32852,hhhhh,111111,28.495583,77.305628,03-17-2021 10:47:51
32853,hhhhh,111111,28.495570,77.305615,03-17-2021 10:48:05
32854,hhhhh,111111,28.495553,77.305612,03-17-2021 10:48:20
32855,hhhhh,111111,28.495540,77.305613,03-17-2021 10:48:35
32856,hhhhh,111111,28.495545,77.305605,03-17-2021 10:48:51
32857,hhhhh,111111,28.495562,77.305598,03-17-2021 10:49:05
32858,hhhhh,111111,28.495478,77.305573,03-17-2021 11:28:58
32859,hhhhh,111111,28.495468,77.305545,03-17-2021 11:29:13
32860,hhhhh,111111,28.495460,77.305522,03-17-2021 11:29:28
32861,hhhhh,111111,28.495462,77.305500,03-17-2021 11:29:43
32862,hhhhh,111111,28.495470,77.305477,03-17-2021 11:29:58
32863,hhhhh,111111,28.495480,77.305577,03-17-2021 11:30:13
32864,hhhhh,111111,28.495522,77.305603,03-17-2021 11:30:34
32865,hhhhh,111111,28.495540,77.305612,03-17-2021 11:30:43
32866,hhhhh,111111,28.495575,77.305585,03-17-2021 11:30:59
32867,hhhhh,111111,28.495575,77.305582,03-17-2021 11:31:13
32868,hhhhh,111111,28.495558,77.305612,03-17-2021 11:31:28
32869,hhhhh,111111,28.495543,77.305635,03-17-2021 11:31:44
32870,hhhhh,111111,28.495542,77.305650,03-17-2021 11:31:58
32871,hhhhh,111111,28.495530,77.305665,03-17-2021 11:32:13
32872,hhhhh,111111,28.495523,77.305677,03-17-2021 11:32:28
32873,hhhhh,111111,28.495510,77.305687,03-17-2021 11:32:43
32874,hhhhh,111111,28.495508,77.305703,03-17-2021 11:32:58
32875,hhhhh,111111,28.495517,77.305725,03-17-2021 11:33:13
32876,hhhhh,111111,28.495520,77.305725,03-17-2021 11:33:28
32877,hhhhh,111111,28.495517,77.305718,03-17-2021 11:33:43
32878,hhhhh,111111,28.495503,77.305738,03-17-2021 11:33:58
32879,hhhhh,111111,28.495485,77.305738,03-17-2021 11:34:14
32880,hhhhh,111111,28.495475,77.305742,03-17-2021 11:34:28
32881,hhhhh,111111,28.495458,77.305760,03-17-2021 11:34:43
32882,hhhhh,111111,28.495452,77.305767,03-17-2021 11:34:58
32883,hhhhh,111111,28.495453,77.305760,03-17-2021 11:35:13
32884,hhhhh,111111,28.495467,77.305755,03-17-2021 11:35:28
32885,hhhhh,111111,28.495478,77.305740,03-17-2021 11:35:43
32886,hhhhh,111111,28.495480,77.305733,03-17-2021 11:35:58
32887,hhhhh,111111,28.495490,77.305728,03-17-2021 11:36:13
32888,hhhhh,111111,28.495487,77.305735,03-17-2021 11:36:28
32889,hhhhh,111111,28.495480,77.305750,03-17-2021 11:36:44
32890,hhhhh,111111,28.495475,77.305763,03-17-2021 11:36:59
32891,hhhhh,111111,28.495482,77.305765,03-17-2021 11:37:14
32892,hhhhh,111111,28.495483,77.305760,03-17-2021 11:37:29
32893,hhhhh,111111,28.495490,77.305743,03-17-2021 11:37:44
32894,hhhhh,111111,28.495498,77.305732,03-17-2021 11:37:59
32895,hhhhh,111111,28.495500,77.305730,03-17-2021 11:38:29
32896,hhhhh,111111,28.495515,77.305690,03-17-2021 11:38:44
32897,hhhhh,111111,28.495515,77.305695,03-17-2021 11:38:59
32898,hhhhh,111111,28.495515,77.305697,03-17-2021 11:39:14
32899,hhhhh,111111,28.495520,77.305687,03-17-2021 11:39:29
32900,hhhhh,111111,28.495538,77.305653,03-17-2021 11:39:44
32901,hhhhh,111111,28.495543,77.305648,03-17-2021 11:39:59
32902,hhhhh,111111,28.495547,77.305643,03-17-2021 11:40:14
32903,hhhhh,111111,28.495550,77.305635,03-17-2021 11:40:29
32904,hhhhh,111111,28.495543,77.305620,03-17-2021 11:40:44
32905,hhhhh,111111,28.495548,77.305608,03-17-2021 11:40:59
32906,hhhhh,111111,28.495557,77.305607,03-17-2021 11:41:14
32907,hhhhh,111111,28.495550,77.305622,03-17-2021 11:41:29
32908,hhhhh,111111,28.495553,77.305620,03-17-2021 11:41:44
32909,hhhhh,111111,28.495558,77.305630,03-17-2021 11:41:59
32910,hhhhh,111111,28.495553,77.305637,03-17-2021 11:42:14
32911,hhhhh,111111,28.495555,77.305643,03-17-2021 11:42:29
32912,hhhhh,111111,28.495558,77.305645,03-17-2021 11:42:44
32913,hhhhh,111111,28.495563,77.305648,03-17-2021 11:42:59
32914,hhhhh,111111,28.495568,77.305643,03-17-2021 11:43:15
32915,hhhhh,111111,28.495570,77.305648,03-17-2021 11:43:29
32916,hhhhh,111111,28.495570,77.305647,03-17-2021 11:43:44
32917,hhhhh,111111,28.495570,77.305642,03-17-2021 11:43:59
32918,hhhhh,111111,28.495565,77.305638,03-17-2021 11:44:14
32919,hhhhh,111111,28.495568,77.305638,03-17-2021 11:44:29
32920,hhhhh,111111,28.495572,77.305640,03-17-2021 11:44:44
32921,hhhhh,111111,28.495568,77.305638,03-17-2021 11:44:59
32922,hhhhh,111111,28.495565,77.305632,03-17-2021 11:45:14
32923,hhhhh,111111,28.495560,77.305623,03-17-2021 11:45:29
32924,hhhhh,111111,28.495558,77.305622,03-17-2021 11:45:44
32925,hhhhh,111111,28.495558,77.305623,03-17-2021 11:45:59
32926,hhhhh,111111,28.495563,77.305625,03-17-2021 11:46:14
32927,hhhhh,111111,28.495558,77.305625,03-17-2021 11:46:29
32928,hhhhh,111111,28.495553,77.305623,03-17-2021 11:46:44
32929,hhhhh,111111,28.495555,77.305628,03-17-2021 11:46:59
32930,hhhhh,111111,28.495548,77.305632,03-17-2021 11:47:14
32931,hhhhh,111111,28.495547,77.305632,03-17-2021 11:47:29
32932,hhhhh,111111,28.495542,77.305632,03-17-2021 11:47:44
32933,hhhhh,111111,28.495542,77.305633,03-17-2021 11:47:59
32934,hhhhh,111111,28.495543,77.305630,03-17-2021 11:48:14
32935,hhhhh,111111,28.495548,77.305632,03-17-2021 11:48:29
32936,hhhhh,111111,28.495553,77.305630,03-17-2021 11:48:44
32937,hhhhh,111111,28.495558,77.305627,03-17-2021 11:48:59
32938,hhhhh,111111,28.495563,77.305623,03-17-2021 11:49:14
32939,hhhhh,111111,28.495570,77.305620,03-17-2021 11:49:29
32940,hhhhh,111111,28.495567,77.305618,03-17-2021 11:49:44
32941,hhhhh,111111,28.495565,77.305625,03-17-2021 11:49:59
32942,hhhhh,111111,28.495552,77.305648,03-17-2021 11:50:29
32943,hhhhh,111111,28.495542,77.305658,03-17-2021 11:50:44
32944,hhhhh,111111,28.495535,77.305653,03-17-2021 11:50:59
32945,hhhhh,111111,28.495557,77.305642,03-17-2021 11:51:14
32946,hhhhh,111111,28.495570,77.305643,03-17-2021 11:51:29
32947,hhhhh,111111,28.495573,77.305635,03-17-2021 11:51:44
32948,hhhhh,111111,28.495578,77.305630,03-17-2021 11:51:59
